	nodes	start	end	len	descendants	status
0	[]	0	636	636	[]	clonal
1	[11]	636	1135	499	[{0, 2, 3}]	recom
2	[]	1135	1356	221	[]	clonal
3	[8]	1356	2027	671	['']	recom
4	[]	2027	2973	946	[]	clonal
5	[8]	2973	3533	560	['']	recom
6	[8, 0]	3533	3559	26	['', '']	overlap
7	[0]	3559	4184	625	['']	recom
8	[]	4184	4250	66	[]	clonal
9	[12]	4250	4721	471	[{8, 4}]	recom
10	[]	4721	5000	279	[]	clonal
