	nodes	start	end	len	descendants	status
0	[]	0	347	347	[]	clonal
1	[9]	347	857	510	['']	recom
2	[]	857	1717	860	[]	clonal
3	[17]	1717	2142	425	[{0, 1, 2, 3, 4, 5, 7, 8, 9}]	recom
4	[]	2142	3821	1679	[]	clonal
5	[14]	3821	4449	628	[{0, 3, 5, 7}]	recom
6	[]	4449	5482	1033	[]	clonal
7	[5]	5482	5944	462	['']	recom
8	[]	5944	7483	1539	[]	clonal
9	[2]	7483	7957	474	['']	recom
10	[]	7957	8510	553	[]	clonal
11	[0]	8510	8844	334	['']	recom
12	[]	8844	10000	1156	[]	clonal
