	nodes	start	end	len	descendants	status
0	[]	0	960	960	[]	clonal
1	[3]	960	1197	237	['']	recom
2	[3, 4]	1197	1312	115	['', '']	overlap
3	[4]	1312	1839	527	['']	recom
4	[]	1839	2562	723	[]	clonal
5	[14]	2562	3028	466	[{2, 5}]	recom
6	[]	3028	3352	324	[]	clonal
7	[11]	3352	3682	330	[{0, 3, 7}]	recom
8	[]	3682	4450	768	[]	clonal
9	[17]	4450	4904	454	[{4, 6}]	recom
10	[]	4904	5000	96	[]	clonal
